animal_id,tag,rfid,dob,sex,breed_date,dam,dam_date
1876,9010,964001009986918,2011-04-03 00:00:00,Female,2018-08-03 21:07:46.08,"",
1877,10007,964001009986685,2011-02-01 00:00:00,Female,2018-08-12 08:49:54.093,"",
1878,10009,964001009986616,2011-11-04 00:00:00,Female,2024-01-13 07:30:48.098,WAST03,2024-01-13 07:30:48.052
1879,11044,964001009986941,2010-02-22 00:00:00,Female,,"",
1881,11021,964001009986622,2008-11-24 00:00:00,Female,2018-08-07 11:49:43.534,WAST02,2024-01-13 07:32:57.144
1882,12003,964001009986663,2011-06-30 00:00:00,Female,2018-08-12 08:49:55.434,"",
1883,11034,964001009986655,2010-02-06 00:00:00,Female,2018-08-06 08:10:50.095,"",
1884,9018,964001009986940,2010-01-25 00:00:00,Female,,"",
1886,12086,964001027784136,2011-12-08 00:00:00,Female,2018-08-12 08:49:56.463,WAST02,2024-01-12 12:00:07.535
1888,011TUX,964001009987473,2011-12-08 00:00:00,Male,,"",
1893,10023,964001009986617,2011-02-12 00:00:00,Female,2024-01-13 07:31:33.659,WAST02,2024-01-13 07:31:33.644
1894,10011,964001009986676,2010-12-01 00:00:00,Female,2018-08-12 08:49:54.248,"",
1897,11029,964001009986727,2012-02-29 00:00:00,Female,2018-08-12 08:49:54.517,9007,
1898,11019,964001009986719,2011-05-06 00:00:00,Female,,"",
1899,11008,964001009986668,2008-04-10 00:00:00,Female,,"",
1900,11041,964001009986742,2011-03-14 00:00:00,Female,2018-08-12 08:49:54.859,"",
1901,10005,964001009986628,2011-01-02 00:00:00,Female,,WAST02,2024-01-13 07:35:11.77
1902,12091,964001009986728,2012-02-15 00:00:00,Female,2018-08-03 21:07:45.186,10005,
1905,12079,964001009986657,2012-02-20 00:00:00,Female,,BRCM02,2024-01-12 12:03:13.053
1906,11012,964001009986644,2010-02-02 00:00:00,Female,2024-01-13 07:43:25.729,WAST02,2024-01-13 07:43:25.729
1907,12111,964001009986675,2012-01-29 00:00:00,Female,,ORST03,2024-01-12 11:50:07.681
1908,12038,964001009986883,2012-01-31 00:00:00,Female,,WAST02,2024-01-12 07:22:24.948
