animal_id,last_weight,last_weight_date
1876,39,2019-07-24 06:49:29.927
1877,122,2019-05-10 09:54:43.593
1878,119,2019-07-24 04:43:33.35
1879,148,2017-11-08 09:36:24.645
1881,111,2018-08-07 11:49:33.876
1882,122.0,2019-05-22 12:50:54.14
1883,142.0,2018-11-05 14:14:19.676
1884,120.0,2016-05-05 12:00:23.715
1886,121,2020-12-14 14:01:43.126
1888,194.0,2017-01-30 11:40:06.157
1893,138,2018-11-05 14:33:40.956
1894,130,2019-05-22 11:22:29.719
1897,100.0,2021-11-19 10:34:47.762
1898,153,2017-07-12 12:19:28.425
1899,158.0,2016-05-05 11:54:52.833
1900,141.0,2019-11-10 10:44:18.453
1901,139,2015-09-02 13:44:56.179
1902,101.0,2016-07-07 09:07:46.374
1905,123,2018-01-21 10:46:50.457
1906,130,2018-11-05 14:13:50.186
1907,146,2017-03-06 16:30:18.791
1908,182,2018-01-23 15:18:14.336
1909,121.0,2019-11-10 11:33:17.207
1910,129,2020-12-04 09:38:36.564
1912,132,2018-01-21 11:01:45.614
1915,129,2017-03-06 16:30:43.669
1917,135.0,2016-05-05 11:48:24.855
1919,135,2017-03-06 16:30:32.95
1922,132,2018-01-25 19:40:15
1923,158.0,2018-01-23 11:59:31.227
1924,109,2015-09-02 11:31:09.287
1925,126.0,2016-07-07 10:46:45.493
1926,135.0,2018-11-05 14:22:59.388
1929,124,2019-11-10 11:18:38.889
1930,112,2016-05-05 12:00:42.265
1931,100,2018-01-03 12:33:41.641
1933,137.0,2019-07-24 04:56:56.023
1934,178.0,2017-03-06 16:00:46.583
1939,135.0,2017-03-06 16:08:04.837
1940,162.0,2017-03-06 16:26:45.693
1941,116.0,2019-05-24 12:00:51.522
1942,125,2018-08-07 09:15:46.369
1943,172,2018-11-05 14:16:26.914
1944,140.0,2019-11-10 11:13:52.872
1945,137,2017-03-06 16:22:32.394
1946,125.0,2015-05-14 12:02:06
1948,122,2019-11-10 10:06:31.556
1950,136.0,2020-02-14 11:16:32.137
1951,165.0,2017-03-06 16:13:36.948
1955,117,2021-08-26 10:04:08.084
1956,68.5,2021-08-26 09:22:35.757
1957,138,2018-09-01 13:15:15.885
1958,154.0,2020-02-14 11:23:42.389
1959,148.0,2017-09-06 12:26:21.426
1961,150,2018-11-05 14:15:18.564
1963,150.0,2018-11-05 14:40:08.543
1964,134.0,2020-02-14 11:28:58.036
1967,125,2019-07-24 04:49:50.683
1971,142.0,2019-07-24 05:23:25.427
1974,130,2017-03-06 16:10:22.737
1975,121,2018-11-05 15:07:20.884
1976,123,2019-11-10 11:20:52.158
1978,181.0,2017-03-06 16:24:14.588
1979,136,2018-11-05 14:13:27.494
1980,148,2018-01-25 19:40:23
1982,128,2018-08-07 11:51:26.84
1983,174,2019-05-22 10:39:56.434
1984,134,2019-07-24 05:21:14.9
1985,173.0,2018-11-05 15:36:29.663
1986,130,2018-01-23 10:58:03.49
1987,164.0,2017-03-06 16:13:15.871
1988,138,2019-11-10 11:01:18.221
1989,144,2020-02-14 11:25:14.053
1990,137,2016-01-28 09:15:24.179
1991,96.8,2018-09-01 10:52:20.559
1992,164,2017-07-12 14:21:21.134
1994,113.0,2021-11-19 10:25:09.347
1995,156.0,2020-02-14 11:23:22.33
1996,110,2018-01-23 10:11:06.881
1997,132.0,2020-08-28 08:50:33.678
1998,141.0,2019-11-10 11:00:18.951
1999,170,2015-02-26 14:15:56.928
2000,123,2019-07-24 05:21:53.66
2001,126,2019-07-24 04:49:59.066
2002,113,2019-11-10 09:39:52.246
2004,145,2017-09-06 11:49:54.764
2005,152,2017-01-30 11:29:42.027
2007,140.0,2018-01-21 10:54:25.466
2009,128.0,2021-08-28 13:22:53.043
2011,117.0,2023-02-07 14:44:18.744
2012,125.0,2020-12-04 11:57:31.923
2016,112.0,2021-08-27 18:37:21.408
2017,124.0,2022-02-27 14:46:15.671
2022,84.0,2016-05-05 12:00:13.207
2024,100.0,2021-11-19 14:15:26.965
2026,137,2018-09-01 15:22:13.823
2033,121,2020-08-28 13:37:05.928
2042,133.0,2020-02-14 11:31:28.106
2047,122.0,2023-02-07 13:46:06.58
2053,122,2018-08-07 12:29:36.548
2054,145.0,2018-01-23 13:03:29.427
2056,115.0,2018-01-21 11:00:28.417
2064,133.0,2020-02-14 11:24:29.202
2066,149.0,2017-02-20 10:02:37.51
2067,146.0,2015-02-26 14:48:26.667
2068,103.0,2021-11-19 12:54:54.381
2071,127.0,2018-09-01 13:13:46.559
2073,130.0,2018-01-23 15:06:57.733
2074,112.0,2020-12-14 13:57:44.14
2075,109,2020-08-28 10:24:17.625
2078,125.0,2017-03-06 16:20:37.676
2082,91.0,2021-08-28 14:36:23.643
2092,104.0,2021-08-28 08:28:35.9
2093,120.0,2021-08-27 12:01:50.006
2094,111.0,2022-02-27 15:10:54.209
2096,143.0,2020-12-04 11:53:22.247
2098,118.0,2020-02-14 11:22:54.495
2100,112.0,2020-08-28 13:29:54.014
2101,111.0,2017-03-06 16:25:09.751
2104,126.0,2018-01-23 10:02:57.836
2105,142.0,2017-03-06 16:25:23.979
2106,106.0,2019-11-10 10:24:23.06
2113,109.0,2017-03-06 16:21:17.933
2128,136.0,2018-11-05 15:08:24.263
2149,137.0,2019-11-10 10:56:57.981
2159,182.0,2019-11-10 11:15:45.866
2161,120,2022-08-19 13:01:53.889
2172,121.0,2019-11-10 09:38:06.627
2175,81.2,2020-02-14 11:29:32.523
2179,131.0,2022-02-27 14:10:33.143
2187,134.0,2018-10-17 07:42:36.718
2188,133.0,2018-11-05 14:35:44.475
2189,139.0,2018-11-05 14:21:14.891
2198,136,2020-12-04 11:56:20.114
2199,137.0,2019-11-10 10:06:07.373
2201,128.0,2023-02-05 15:32:29.783
2204,126,2019-05-22 10:10:13.399
2205,99.4,2019-05-22 11:56:24.578
2214,126,2017-01-30 13:45:14.865
2215,96.0,2016-03-19 09:19:04.684
2216,107.0,2017-03-06 16:01:10.64
2217,123.0,2015-12-04 16:42:31.312
2218,125.0,2016-01-08 12:55:05.125
2219,111.0,2016-01-08 12:50:42.055
2221,113.0,2016-01-08 12:51:36.913
2222,104.0,2017-01-31 11:56:53.735
2223,144.0,2023-02-05 13:07:03.312
2224,121.0,2018-11-05 15:28:00.635
2226,123.0,2016-01-08 12:49:44.914
2227,118.0,2016-02-12 09:20:03.255
2229,115.0,2016-02-12 09:10:56.294
2230,131.0,2015-12-04 16:45:05.82
2232,114.0,2016-01-08 12:49:29.222
2233,126.0,2015-12-04 16:40:58.333
2234,135.0,2023-02-07 13:13:32.928
2235,125.0,2018-10-17 07:03:27.877
2236,131.0,2015-12-04 16:46:26.297
2237,116.0,2016-01-08 12:47:58.209
2238,101.0,2016-02-12 09:12:27.768
2239,118.0,2016-01-08 12:50:55.992
2241,121.0,2015-12-04 16:42:21.772
2242,125.0,2017-03-06 16:23:27.795
2243,107.0,2016-02-12 09:41:41.722
2244,117.0,2016-02-12 09:12:51.92
2246,135.0,2021-08-28 13:13:20.166
2247,117.0,2022-02-27 14:46:41.425
2251,117.0,2016-02-12 09:14:47.458
2254,129.0,2017-03-06 16:10:36.324
2256,106.0,2022-02-27 11:48:42.718
2257,141.0,2017-03-06 16:08:49.047
2258,118.0,2016-02-12 09:24:22.612
2260,129.0,2017-03-06 16:24:30.001
2262,118.0,2023-02-05 15:35:12.226
2263,125.0,2015-12-04 16:45:26.817
2264,189,2017-11-06 09:46:02.692
2265,121.0,2016-02-12 09:16:16.89
2266,131.0,2015-12-04 16:40:03.639
2267,131.0,2019-07-24 04:58:13.265
2268,135.0,2017-03-06 16:01:54.029
2270,120.0,2015-07-15 19:44:57.793
2273,137.0,2024-01-03 13:01:21.157
2274,125.0,2015-12-04 16:44:18.871
2277,115.0,2016-01-08 12:48:09.662
2278,115.0,2016-01-08 12:45:53.843
2281,135.0,2017-03-06 16:22:58.204
2282,110.0,2021-08-27 17:41:11.66
2283,138.0,2024-01-04 09:14:51.256
2284,125,2015-12-04 16:42:41.621
2285,124.0,2015-07-15 13:17:54.683
2286,159,2019-05-22 10:36:57.152
2287,125.0,2015-12-04 16:41:59.789
2288,134.0,2015-12-04 16:43:23.557
2289,61.0,2016-04-02 13:28:07.033
2290,99.5,2016-02-12 09:20:39.712
2291,118.0,2018-11-05 14:33:24.787
2292,142.0,2022-09-11 12:35:38.104
2294,113.0,2016-01-08 12:48:41.223
2295,145.0,2018-01-21 11:00:56.421
2296,116.0,2016-01-08 12:48:22.301
2297,142.0,2019-11-10 11:26:00.994
2298,115.0,2017-03-06 16:18:34.692
2300,124,2015-12-04 16:45:17.108
2301,133.0,2022-09-11 10:34:49.583
2303,141.0,2020-12-04 10:46:54.861
2304,133.0,2023-06-11 13:09:15.973
2305,124.0,2017-03-06 16:28:03.157
2306,113.0,2016-01-08 12:52:23.328
2307,75.0,2016-04-02 13:30:40.855
2308,129.0,2022-02-27 14:57:15.599
2309,126.0,2015-12-04 16:45:51.381
2310,123.0,2022-02-27 14:15:52.466
2311,75.5,2016-04-02 13:38:44.297
2312,102.0,2017-01-30 11:36:26.079
2313,130.0,2017-03-06 16:06:58.726
2314,128.0,2022-09-11 13:29:49.128
2315,118.0,2016-01-08 12:51:54.36
2316,129.0,2015-12-04 16:43:09.873
2318,145,2018-11-05 14:38:27.019
2319,82.0,2016-04-02 13:33:20.644
2320,137.0,2022-02-26 12:57:34.728
2321,123.0,2015-12-04 16:47:10.742
2322,121.0,2018-11-05 14:52:08.948
2324,88.5,2017-03-06 16:03:17.541
2325,121.0,2017-03-06 16:27:02.739
2326,92.5,2016-02-12 09:16:33.618
2327,85.0,2016-03-19 09:18:19.143
2328,109.0,2023-02-07 13:06:27.75
2329,140.0,2015-12-04 16:43:54.507
2330,122,2015-12-04 16:43:44.564
2331,136.0,2020-02-14 11:18:42.168
2332,115.0,2017-03-06 15:59:40.588
2333,113.0,2016-01-08 12:46:26.346
2334,147.0,2018-10-17 07:14:08.203
2335,142,2018-02-05 10:24:26.12
2336,146,2017-03-06 16:11:13.644
2337,142.0,2022-09-11 10:23:58.738
2338,132.0,2016-01-08 12:47:24.075
2339,134.0,2015-12-04 16:42:10.247
2340,113.0,2024-01-02 10:07:32.556
2341,108.0,2021-11-19 12:12:25.799
2342,115.0,2016-02-12 09:22:34.252
2344,102.0,2021-08-28 13:47:26.513
2345,114.0,2016-01-08 12:49:17.353
2346,98.8,2020-08-28 14:49:50.608
2347,131.0,2015-12-04 16:07:10.904
2348,104.0,2024-01-02 11:45:08.576
2349,141.0,2022-09-11 10:47:58.329
2351,113.0,2016-02-12 09:22:03.741
2352,126,2015-12-04 16:40:47.933
2353,114.0,2016-02-12 09:24:09.909
2354,117.0,2016-02-12 09:23:54.719
2355,167.0,2019-07-24 05:24:08.524
2356,126,2023-02-07 14:43:30.272
2357,127.0,2020-12-14 14:23:10.214
2358,112.0,2021-11-19 12:03:50.669
2359,117.0,2016-01-08 12:51:24.768
2360,119.0,2016-01-08 12:52:35.104
2361,117.0,2019-11-10 09:35:42.928
2362,112.0,2016-01-08 12:49:01.691
2364,140.0,2015-12-04 16:40:14.734
2365,79.2,2019-05-10 09:36:31.169
2366,121.0,2015-12-04 15:54:47.434
2367,125,2015-12-04 16:46:48.172
2368,118.0,2016-02-12 09:22:52.21
2370,124,2015-12-04 16:44:06.887
2371,149,2018-02-05 10:09:46.924
2372,131.0,2015-12-04 16:41:37.729
2373,118.0,2020-12-04 10:03:51.241
2374,112.0,2016-01-08 12:54:19.254
2375,110.0,2016-01-08 12:46:15.563
2376,130.0,2016-02-22 11:25:39.068
2377,118.0,2024-01-03 12:56:21.753
2380,147,2020-08-28 08:49:14.616
2381,127,2016-01-28 10:41:36.575
2382,148.0,2020-12-14 14:19:09.219
2383,131.0,2018-11-05 14:35:08.376
2384,102.0,2016-02-12 09:19:06.504
2385,78.5,2016-04-02 13:45:13.318
2388,113,2018-01-21 10:44:44.632
2389,132.0,2018-11-05 15:12:51.244
2390,111.0,2016-02-12 09:13:49.577
2391,111.0,2016-01-08 12:31:24.933
2393,146.0,2018-11-05 15:17:43.721
2394,136.0,2015-12-04 16:39:52.219
2395,119.0,2024-01-04 08:57:54.395
2396,135.0,2015-12-04 16:40:26.021
2397,92.0,2016-05-05 11:50:06.525
2398,81.0,2016-02-12 09:14:08.523
2399,109.0,2017-05-09 15:23:02.194
2400,110.0,2023-08-09 15:18:29.944
2401,97.8,2020-02-14 11:21:28.568
2403,121.0,2020-08-28 14:34:20.548
2404,121.0,2015-12-04 15:53:46.198
2405,129,2015-12-04 16:46:05.967
2406,126.0,2017-03-06 16:29:03.253
2407,125.0,2017-03-06 16:27:49.464
2408,95.0,2016-02-12 09:16:47.841
2409,125.0,2020-02-14 11:18:12.338
2410,151,2018-01-21 10:45:59.202
2411,"",
2412,108.0,2016-02-12 09:13:17.815
2414,98.5,2017-03-06 16:15:13.121
2415,121,2015-12-04 16:40:37.692
2417,117.0,2016-01-08 12:47:10.711
2418,77.5,2016-05-05 12:01:08.109
2419,114.0,2016-01-08 12:55:33.475
2420,143.0,2018-10-17 08:13:56.525
2421,120.0,2015-12-04 16:41:28.219
2422,159.0,2020-08-28 09:31:08.885
2424,110.0,2017-01-31 12:27:30.181
2425,118.0,2016-01-08 12:46:06.264
2426,96.5,2021-08-28 10:16:19.719
2427,130.0,2023-02-07 13:57:18.916
2429,103,2018-08-07 08:53:16.401
2430,88.5,2016-03-19 09:20:58.751
2431,119.0,2022-02-27 15:01:26.924
2435,130.0,2018-11-05 15:03:21.075
2438,120,2019-07-20 09:07:44.262
2439,107.0,2016-02-12 09:19:39.754
2440,60.5,2016-05-05 12:00:49.573
2443,115.0,2023-02-07 12:19:25.893
2444,125.0,2015-12-04 16:44:32.647
2445,98.0,2021-08-28 10:37:18.361
2446,119.0,2016-01-08 12:47:45.818
2447,141.0,2020-07-07 08:45:36.842
2448,85.0,2016-04-02 13:26:31.054
2449,78.5,2016-04-02 13:53:06.925
2450,146.0,2016-01-08 12:54:30.502
2451,111.0,2018-11-05 14:17:38.228
2452,119.0,2016-01-08 12:56:13.482
2453,111.0,2017-03-06 16:15:31.524
2454,124.0,2015-12-04 16:46:36.983
2455,81,2015-03-04 13:24:24.697
2456,110.0,2024-01-03 13:08:14.168
2457,89.0,2016-03-19 09:21:23.649
2458,90.5,2016-03-19 09:17:10.492
2459,113,2023-02-07 13:43:11.634
2460,110.0,2017-03-06 16:26:07.942
2461,95.0,2016-02-12 09:23:39.207
2462,132.0,2018-10-17 08:15:43.823
2463,204.0,2024-01-02 09:42:44.135
2464,89.0,2016-03-19 09:25:25.182
2465,139.0,2023-02-07 12:49:38.329
2466,130.0,2018-11-05 15:00:36.013
2467,175.0,2018-01-24 09:09:54.356
2468,112.0,2019-05-22 10:24:28.13
2469,184.0,2019-07-24 05:07:27.627
2470,161.0,2018-01-23 12:09:27.079
2471,102.0,2016-02-12 09:21:25.095
2473,115.0,2016-01-08 12:54:50.237
2474,159.0,2020-02-14 11:26:03.863
2476,130.0,2020-08-28 08:26:45.905
2477,147.0,2019-11-10 08:08:23.238
2478,123.0,2017-03-06 16:27:25.136
2479,113.0,2017-01-31 12:33:15.266
2480,124.0,2015-12-04 16:42:51.04
2481,124.0,2018-10-17 07:17:19.518
2483,114.0,2016-01-08 12:53:46.706
2484,113.0,2016-01-08 12:56:24.777
2485,115.0,2016-01-08 12:52:11.116
2491,117.0,2018-11-05 14:23:15.559
2492,154,2017-11-08 12:35:13.411
2493,165.0,2018-10-17 07:51:53.789
2495,131,2019-11-10 10:03:55.413
2496,124,2020-02-14 11:19:12.467
2497,87.4,2020-12-04 11:43:25.165
2498,145,2019-11-10 10:26:18.998
2499,130,2017-03-06 16:23:45.404
2500,120,2020-08-28 13:21:04.723
2501,138,2019-11-10 09:48:48.254
2502,126,2018-11-05 15:17:01.688
2503,136,2018-10-17 06:51:33.925
2504,128,2018-11-05 14:20:52.68
2505,95.0,2019-05-24 08:49:16.164
2506,126,2019-11-10 10:22:28.362
2507,165.0,2017-03-06 16:31:31.606
2508,114.0,2019-07-24 05:26:57.033
2509,113.0,2020-08-28 10:34:13.366
2511,143,2019-07-20 07:52:42.599
2512,154,2018-08-31 11:53:01.892
2513,151.0,2021-11-19 12:12:44.825
2514,118,2022-02-26 11:04:55.494
